Headline,Body ID,Stance
Police find mass graves with at least '15 bodies' near Mexico town where 43 students disappeared after police clash,712,unrelated
Hundreds of Palestinians flee floods in Gaza as Israel opens dams,158,agree
"Christian Bale passes on role of Steve Jobs, actor reportedly felt he wasn't right for part",137,unrelated
HBO and Apple in Talks for $15/Month Apple TV Streaming Service Launching in April,1034,unrelated
"Accused Boston Marathon Bomber Severely Injured In Prison, May Never Walk Or Talk Again",962,unrelated
Identity of ISIS terrorist known as 'Jihadi John' reportedly revealed,2033,unrelated
British Aid Worker Confirmed Murdered By ISIS,882,unrelated
Gateway Pundit,2327,discuss
Kidnapped Nigerian schoolgirls: Government claims ceasefire deal with Boko Haram that will bring missing girls home,1003,unrelated
"No, that high school kid didn't make $72 million trading stocks",2132,unrelated
Vandals add rude paint job to $2.5m Bugatti (but luckily for the owner it all turned out to be a hoax),615,unrelated
N. Korea’s Kim has leg injury but in control,570,unrelated
Tropical spider burrows under man's skin through scar,1500,unrelated
NBC's Tom Brokaw reportedly wants Brian Williams fired over fabricated Iraq helicopter story,1545,unrelated
Would you take a bite out of the world's oldest burger? Men keep Quarter Pounder they bought 20 YEARS ago for a friend who never showed up to meet them,1196,unrelated
"Luke Somers Dies In Rescue Attempt, Sister Says; Yemeni Defense Ministry Says Unnamed US Hostage Freed",56,unrelated
Christian Bale Exits Steve Jobs Movie (Exclusive),1658,unrelated
Microsoft Tried Out Robot Security Guards on Its Silicon Valley Campus,2327,unrelated
Islamic Militants Post Video Claiming to Show Beheading of U.S. Journalist,132,unrelated
"TEXAS TURKEY FARM CONTAMINATED WITH EBOLA, OVER 250,000 HOLIDAY TURKEYS INFECTED",2344,unrelated
"SEE IT: ISIS militants caught trying to cross border into Texas, Congressman claims",625,unrelated
"Thanks Uncle Sam, we have your weapons airdrop: ISIS taunts America over intercepted weapons meant for Kurds",2176,unrelated
Fisherman lands 19 STONE catfish which could be biggest in world to be hooked,2161,agree
Would-be rapist has penis severed by angry mob,1040,unrelated
Who Is Michael Zehaf-Bibeau? Ottawa Shooter Suspect Identified By Canadian Officials ,1251,unrelated
Taylor Lianne Chandler: Michael Phelps' Cougar Girlfriend Revealed?,1337,unrelated
"At CBS Detroit, Fan Site 'Scuttlebutt' Is Enough to Publish Batmobile Rumor",280,unrelated
Nasa questions whether crater in Nicaragua caused by meteorite,534,unrelated
Seth Rogen Is Woz,213,unrelated
"That Story About a Catholic Priest Dying, Seeing God as a Woman, and Coming Back to Life? It’s Almost Definitely Fake",1299,unrelated
Experts: More facts needed on purported audio recording of Michael Brown shooting,1481,unrelated
"Catholic Priest Dead For 48 Minutes, Is Miraculously Revived – His Revelations About God Are Even More Shocking",289,unrelated
Student accidentally sets college on fire during fireworks proposal,1592,agree
"Planetary Alignment On Jan 4, 2015 Will Decrease Gravity For 5 Minutes Causing Partial Weightlessness",2248,unrelated
Rumors of ISIS leader's death debunked,1255,unrelated
‘Banksy’ Instagram tribute to Charlie Hebdo victims not posted by artist,1120,unrelated
Boko Haram ceasefire ignored as violence flares in Borno state,2045,unrelated
BREAKING NEWS: ISIS beheads missing American journalist James Wright Foley as warning to US to cease action in Iraq,2296,unrelated
Nigeria and Boko Haram 'agree ceasefire and girls' release',459,unrelated
Pope Francis turns out not to have made pets in heaven comment,1905,disagree
British rapper a suspect in ISIS beheading,2295,unrelated
Macaulay Culkin Hasn’t Died Despite What Everyone Is Saying On Facebook,759,agree
A Husband Breaks Down In Tears After Lost Voicemail Message By His Late Wife Is Recovered,2406,unrelated
Bali Awry,181,unrelated
Islamic State Leader al-Baghdadi “Not Dead”,2036,unrelated
Eggnog-chugging contest leads to hospital stay,941,unrelated
"No, it's not Tiger Woods selling an island in Lake Mälaren",965,disagree
"Why the Gold Apple Watch Edition Must Cost $10,000",816,unrelated
Would-be rapist has penis severed by angry mob,2106,unrelated
Anna Wintour: Is Rat Infestation At NYC ‘Vogue’ Office Kim Kardashian’s Fault?,367,unrelated
[UPDATED] 11 Men and 0 Women on Tonight's ESPN Domestic Violence Panel,373,unrelated
Amazon's first brick-and-mortar store said to open in Manhattan,1934,unrelated
Did Kim Yo-Jong Take Kim Jong Un’s Role? North Korea Ill Health Rumors Are ‘Fabricated’,1500,unrelated
US confirms death of Somalia terror group leader,167,unrelated
Durex Is Not Making Pumpkin Spice Condoms After All: A Hoax Debunked,1175,unrelated
ISLAMIC STATE BEHEADS MISSING AMERICAN JOURNALIST JAMES WRIGHT FOLEY,1034,unrelated
Spider Burrows Into Australian Man's Appendix Scar (VIDEO),724,unrelated
Batmobile wasn't stolen: Cops,1338,unrelated
Michael Brown shooting audio caught on tape?,2248,unrelated
BREAKING NEWS: ISIS beheads missing American journalist James Wright Foley as warning to US to cease action in Iraq,1040,unrelated
Biological Warfare on the Horizon? ISIS Soldiers May Be Infected With Ebola,527,unrelated
Saudi fatwa banning snowmen triggers heated debate,26,unrelated
Paul Rudd Is Not the Viral Video Hero Who Tackled a Gay Basher in Dallas,487,unrelated
Everyone chill! Banksy has NOT been arrested,1898,unrelated
"UPDATE: Soldier, gunman who died in Ottawa rampage identified",205,unrelated
New Audio Shows Michael Brown Was Shot at 11 Times,1435,unrelated
"No, Islamic State Militants Have Not Been Caught by U.S. Border Patrol",190,unrelated
Report: Audio Reveals Pause Between Gunshots When Michael Brown Was Shot,1808,unrelated
Mystery woman behind the 'richest hands on the internet' revealed: Former pornstar 'makes $5m a year unwrapping Disney toys on YouTube',1315,agree
Jihadi John identity revealed as Mohammed Emwazi: live,2033,unrelated
IS militant 'Jihadi John' named as Mohammed Emwazi from London,472,unrelated
Wife and son of Isil leader Abu Bakr al-Baghdadi 'detained at Lebanon border',1125,unrelated
Islamic State militants allegedly used chlorine gas against Iraqi security forces,1590,discuss
Former PGA Tour player: Tiger Woods suspended for drug test failure,2240,unrelated
Zack Snyder Responds to Fake Stolen Batmobile Report,702,unrelated
Ottawa investigates reports that Isis has captured Canadian-Israeli woman,1165,unrelated
Priest who died for 48 minutes says he met God and she’s a woman,1720,unrelated
Mum faces real-life Sophie's Choice – as she tries to sell her son to fund daughter's care,1358,unrelated
"Fidel Castro Dead? Yes, He Is… But The Cuban Leader Is Alive, Death Rumors Proven False",1832,unrelated
"CNN Broadcasts Purported Audio Containing Gunshots That Felled Michael Brown Jr.; Leaders, Celebrities Fill Pews At Teen’s Funeral",346,unrelated
Magic mushrooms found in BUCKINGHAM PALACE by Alan Titchmarsh,1374,unrelated
"Video showing American journalist beheaded believed real, officials and family say",2404,unrelated
Canadian Soldier Shot At Ottawa War Memorial: Report,1744,unrelated
Audio recording allegedly captures moment Michael Brown was shot,1832,unrelated
Kim Jong-un 'set to open a new restaurant in SCOTLAND',1406,unrelated
"NYPD to issue tickets instead of arrest for weed possession, report says",775,unrelated
Michael Phelps’ alleged girlfriend says she was born intersex,1849,unrelated
Seth Rogen reported to play Woz in the upcoming Steve Jobs movie,1966,unrelated
How did a Texas plumber's truck end up with Syrian rebels? (+video),2174,unrelated
Nigeria announces truce with Boko Haram; fate of schoolgirls unclear,992,unrelated
ISLAMIC STATE BEHEADS MISSING AMERICAN JOURNALIST JAMES WRIGHT FOLEY,2526,unrelated
Scientists Doubt That Meteor Caused Crater In Nicaragua,731,unrelated
Christian Bale In Talks To Play Steve Jobs In Sony's Next Biopic,2097,unrelated
Nigeria Says Boko Haram Cease-Fire May Lead to Release of Kidnapped Girls,2045,unrelated
"Calm Yourselves, Durex Has NOT Come Out With A Pumpkin Spice Condom",1212,unrelated
Islamic State flying three jets in Syria: monitor,777,unrelated
J.J. Abrams Asks Disney To Move Up 'Star Wars: The Force Awakens' Release Date,2084,discuss
Kim Jong-un relying on ‘cobra wine’ after problems with trouser snake,213,unrelated
Former U.S. soldier says IS used chemical weapons in Kobani,1758,unrelated
North Korean dictator Kim Jong-Un to open restaurant in Scotland,2132,unrelated
Eyewitness Says Viral Video of Homeless Man Was Staged,1681,unrelated
New Audio Shows Michael Brown Was Shot at 11 Times,900,unrelated
Meteorite strike in Nicaragua puzzles experts,40,unrelated
Hunt for 'cruel' owner who abandoned dog at train station,36,unrelated
Video: Marine saved by helmet after Taliban sniper attack,488,agree
"Rare Case: Seven Bosnian Girls, Aged 13 And 14, Fall Pregnant After Five-Day School Trip; Parents Outraged After School Cites 'Parental Neglect'",821,unrelated
"ISIS Claims It Kidnapped Gill Rosenberg, The First Western Woman To Fall Into The Group's Hands",1628,unrelated
What TBS’s Sped-Up Seinfeld Reruns Tell Us About the Sorry State of America,2237,unrelated
Islamic State claims to have beheaded American journalist,1385,unrelated
Boko Haram 'ceasefire' doubts after attacks reported in Nigeria,1125,unrelated
US probing claims ISIS fighters seized airdropped weapons meant for Kurds,2448,unrelated
Meteorite 'caused mysterious boom in Nicaragua',345,unrelated
"Michael Zehaf-Bibeau, slain Ottawa shooter, had criminal record in Quebec, B.C.",2087,unrelated
ISIS cracks down on five confirmed Ebola cases among fighters: official,2045,unrelated
Fears Islamic State could launch EBOLA attack on Britain after fighters 'contract virus',1899,unrelated
Court Orders Probe Into Complaints Of 'Forced Castration' In Religious 'Dera' Sect,1048,unrelated
Saudi Arabian cleric issues fatwa against snowmen,35,unrelated
Actor has his testicles stolen after meeting ‘young blonde woman at a bar’,573,discuss
Michael Phelps’ alleged girlfriend says she was born intersex,618,unrelated
Report: Possible audio tape of Michael Brown shooting,321,unrelated
Amazon plans ad-supported video streaming service - NY post,887,unrelated
CBI registers 'criminal conspiracy' case against Dera chief after claims 400 male followers were forcibly castrated,2336,discuss
"Oh Hey, Paul Rudd Was One Of The Dallas Airport Homophobe Heroes, No Big",119,unrelated
Tourist wakes to find strange red trail on his stomach - and discovers a spider has burrowed through his appendix scar and crawled UNDER his skin while on holiday in Bali,2045,unrelated
Vice CEO Throws Down $300K on Lavish Vegas Dinner,1547,unrelated
What Glenn Beck Fears May Be Done With the 11 Missing Jets,176,unrelated
'Hairgate': iPhone 6 users encounter latest Apple problem after 'bendgate',689,unrelated
"Once Again, The Banksy 'Arrest' Is A Giant Hoax. Repeat: A Hoax.",2342,unrelated
Judicial Watch's Farrell: ISIS Terrorists Did Cross Mexican Border,2132,unrelated
Amazon.com to open first physical store in Manhattan: DJ,2477,unrelated
Lynch Mob Castrates Alleged Rapist In Rajasthan,2149,unrelated
"Feminist Aborts Baby For Being A Boy, Shocked People Don’t Approve",1363,unrelated
Return of the Mac: Seth Rogen in talks to star as Apple co-founder Steve Wozniak in upcoming Steve Jobs biopic,115,unrelated
