semeval2016-task6-stance	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
semeval2016-task6-stance	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
semeval2016-task6-stance	Gold	1 0 0 2 1 0 1 2 0 0 1 0 2 0 1 0 1 1 2 0 1 2 2 2 2 1 1 2 1 2 0 0 0 2 1 2 2 1 2 2 2 2 0 1 2 1 0 2 1 1 0 0 0 2 1 2 1 2 2 2 0 2 1 1 0 2 0 2 0 2 2 0 2 0 1 1 2 0 0 0 0 0 2 1 0 0 0 2 2 0 2 0 2 1 2 1 0 0 0 0 0 0 1 0 2 2 1 0 0 0 0 1 1 2 2 1 1 0 2 0 2 0 2 0 1 0 0 2 0 2 1 0 1 2 2 0 0 0 2 2 2 2 2 2 1 1 1 2 2 0 1 0 2 2 0 2 0 0 0 0 0 0 0 0 2 2 2 1 0 0 1 0 0 0 0 2 0 2 2 0 0 0 1 1 1 2 0 2 2 1 2 0 2 1 0 2 0 2 0 2 2 0 0 0 2 0 0 2 0 2 0 2 2 1 0 2 0 0 0 2 0 0 0 0 2 0 0 1 2 1 0 1 2 0 0 0 2 2 2 2 0 0 1 2 0 2 2 0 1 2 2 2 1 0 2 1 0 0 0 2 0 0 1 0 2 0 1 0 1 2 0 1 0 0 2 2 0 0 1 0 0 2 2 1 2 2 0 0 2 2 0 2 0 0 2 0 2 1 2 1 0 1 2 2 2 2 1 0 0 0 0 1 0 2 2 1 2 0 0 1 0 0 1 2 0 0 2 0 2 1 0 2 2 0 0 0 2 2 0 2 0 0 2 0 0 1 0 0 2 2 0 2 0 0 0 2 0 2 1 2 2 2 0 0 2 1 0 0 2 0 1 1 0 1 0 0 0 2 1 2 0 0 0 2 0 0 2 1 1 2 2 0 2 1 2 1 2 2 1 0 1 2 0 2 2 2 2 1 0 1 1 1 0 2 2 0 1 2 2 2 0 2 2 1 2 0 2 1 2 1 0 2 0 2 1 1 0 0 0 2 2 2 0 2 2 1 0 0 0 1 2 1 1 0 0 0 2 0 2 0 1 1 2 0 0 1 1 2 1 1 1 1 2 2 2 2 0 2 0 1 1 1 2 1 0 2 0 0 0 1 2 2 2 0 1 2 0 1 0 0 2 0 0 1 0 2 1 1 0 1 2 1 0 2 1 0 2 2 2 2 0 2 2 0 2 2 0 2 0 1 1 0 2 0 0 1 2 2 0 1 2 0 2 2 0 0 0 0 0 1 0 1 0 1 2 0 0 0 1 0 0 2 2 0 2 0 1 0 0 2 0 1 1 0 2 0 2 0 2 0 2 1 2 0 0 1 1 0 2 2 0 0 0 1 1 2 2 2 0 2 1 2 0 2 2 2 1 2 0 0 0 2 0 0 0 0 0 0 0 2 1 2 0 2 0 2 0 0 0 1 2 2 2 0 0 2 2 2 0 2 0 2 1 1 1 0 0 0 1 2 1 2 0 0 2 2 1 0 1 0 0 0 0 2 2 0 2 0 0 0 2 0 1 0 2 2 0 0 0 0 0 0 0 2 0 2 2 2 0 2 0 2 2 2 2 0 0 0 0 1 2 0 2 1 2 1 2 2 2 2
absa-laptops	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
absa-laptops	Relabel model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 1 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 0 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 1 2 2 1 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2
absa-laptops	Gold	2 2 0 0 2 1 2 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 0 0 2 0 0 2 2 0 2 2 0 0 0 2 2 2 2 2 2 2 0 0 2 2 2 0 0 2 2 0 2 0 1 2 0 2 2 1 2 2 0 2 0 2 1 2 2 0 0 0 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 0 2 0 0 0 0 2 2 2 2 0 0 0 2 2 2 2 2 0 2 2 0 2 0 0 1 2 0 0 0 0 2 0 0 2 0 1 2 2 2 2 2 0 0 2 2 2 2 2 2 0 0 2 2 0 2 0 0 2 2 2 2 2 0 2 2 2 1 2 1 2 2 0 2 0 2 0 2 0 0 2 2 2 0 2 2 2 2 2 0 2 0 2 2 0 1 2 0 2 2 0 2 0 0 2 2 0 2 2 0 0 0 0 0 0 0 0 2 2 0 2 2 2 0 2 2 2 2 0 2 2 2 2 2 2 0 2 2 0 2 2 2 0 0 2 2 0 0 2 0 2 1 0 2 2 2 2 0 2 2 2 0 2 2 0 2 2 2 0 0 0 0 2 2 1 0 1 2 0 2 2 2 0 2 2 0 0 2 0 2 2 2 2 2 2 0 2 2 2 2 2 2 0 2 0 0 0 0 2 2 0 2 0 2 0 0 0 2 2 1 2 0 2 0 2 0 2 0 2 2 0 1 2 0 2 2 2 2 2 2 2 1 0 0 2 0 2 2 2 0 2 2 1 1 0 0 2 1 2 0 2 0 0 2 2 2 2 2 0 2 0 2 2 2 0 0 2 2 0 2 2 0 2 1 2 2 2 0 0 0 2 2 0 0 0 0 2 2 0 2 2 2 2 2 0 0 0 0 2 2 2 0 2 2 0 0 2 0 2 0 2 2 1 0 0 0 0 2 2 2 0 2 0 2 0 2 0 2 0 2 2 2 2 0 2 2 2 2 2 0 2 0 2 2 2 2 0 2 2 2 2 1 2 1 2 2 0 2 0 0 2 1 2 0 0 0 2 2 0 2 2 2 2 2 1 0 2 0 2 2 2 2 2 1 2 2 2 2 2 2 0 2 2 2 0 2 2 0 2 2 2 2 2 2 2 2 1 0 2 1 2 0 0 0 2 0 2 0 2 0 2 0 0 0 2 2 2 2 0 2 2 2 1 2 0 1 2 2 0 0 2 2 2 1 2 1 0 2 1 2 0 0 0 0 2 2 2 2 0 2 2 2 0 2 2 2 2 2 2 0 2 0 2 0 2 2 0 0 2 2 2 2 2 2 0 0 2 0 0 1 2 2 2 2 1 2 2 0 2 2 2 2 0 2 0 0 0 2 2 0 2 0 2 0 0 2 2 2 2 0 1 0 2 0 0 0 2 0 2 2 0 2 0 0 2 2 2 2 1 1 2 2 2 2 2 1 2 2 2 0 2 2 2 2 0 2 0 2 0 2 1 2 2 1 2 0 0 2 2 2 0 2 2 2 2 2 2 0 0 2 2 0 0 2 2 1 2 2 2 2 1 2 2 2 2 0 2 0 0 2 2 2 2 0 2 2 2 0 2 2 2 2 2 2 0 2 0 2 0 2 0 0 2 0 2 0 2 0 0 1 0 2 2 0 2 2 2 2 2 2 0 2 0 0 2 2 0 1 0 2 2 2 0 2 2 2 0 2 2 0 0 0 1 0 2 2 0 2 0 2 2 2 2 0 2 2 0 0 0 0 2 0 2 0 0 2 2 2 2 0 0 2 2 0 2 0 2 1 2 2 2 2 2 2 2
multinli	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
multinli	Relabel model	2 0 0 2 0 0 2 0 2 2 0 1 2 2 2 0 2 2 2 0 2 0 0 0 0 0 2 2 0 0 2 2 2 0 2 2 2 1 2 0 2 0 2 0 2 2 0 1 0 0 2 2 2 2 2 2 2 0 2 2 0 0 0 2
multinli	Gold	1 1 1 2 2 2 1 0 1 2 0 1 2 1 1 0 2 2 1 0 0 1 1 2 1 0 1 1 2 0 1 0 0 0 1 2 1 2 1 0 1 2 0 2 0 1 1 2 2 0 0 0 2 0 1 0 2 0 1 0 0 1 1 1
fakenewschallenge	Main model	3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
