Headline,Body ID,Stance
Spider burrowed through tourist's stomach and up into his chest,1923,disagree
'Nasa Confirms Earth Will Experience 6 Days of Total Darkness in December' Fake News Story Goes Viral,154,agree
Banksy 'Arrested & Real Identity Revealed' Is The Same Hoax From Last Year,1739,agree
"Woman detained in Lebanon is not al-Baghdadi's wife, Iraq says",1468,agree
"Soon Marijuana May Lead to Ticket, Not Arrest, in New York",47,discuss
Boko Haram Denies Nigeria Cease-Fire Claim,2463,discuss
"No, Robert Plant Didn’t Rip Up an $800 Million Contract",295,agree
ISIL Beheads American Photojournalist in Iraq,608,discuss
Boko Haram ceasefire ignored as violence flares in Borno state,1681,discuss
NET Extra: Back-from-the-dead Catholic priest claims God is a female,1014,agree
Rumor debunked: RoboCop-style robots are not patrolling Microsoft's campus,633,agree
Report: Christian Bale Just Bailed on the Steve Jobs Movie,1157,discuss
Insurgents killed in Nigeria despite alleged truce with Boko Haram,1896,discuss
Report: ISIS Leader Abu Bakr Al-Baghdadi Assassinated In U.S. Airstrike,394,discuss
"Islamic State leader's family detained by Lebanon, officials say",703,discuss
Indian civil servant sacked 'after 24-year sickie',2441,agree
Moment Michael Brown was shot dead 'caught on audio recording': FBI handed potentially damning tape of ELEVEN shots being fired - including final volley of 'kill shots',32,discuss
"Soldier, Gunman Killed In Shooting Incident Near Canadian Parliament",1089,agree
Canadian official identifies dead Ottawa gunman as Michael Zehaf-Bibeau,2246,discuss
"Apple 12-Inch MacBook Air Details Emerge; Device Could Be Thinner, Lighter Than Current Model",1362,discuss
New Audio Reveals Pause in Gunfire When Michael Brown Was Shot: Attorney,1818,agree
"11 Tripoli Planes Still Missing, Sparks 9/11 Concerns",1958,agree
India Rape Crisis Sees Mob Castrate Alleged Sex Attacker in Shocking Scenes,2115,agree
Nigeria: hopes for return of kidnapped schoolgirls rise after ceasefire reported,922,discuss
Met police denies reports of Banksy arrest,949,agree
Militant Group Says It Killed American Journalist in Syria,2495,discuss
Hope Fades for Girls' Release After Boko Haram 'Truce' Breached,2463,discuss
Nasa questions whether crater in Nicaragua caused by meteorite,1661,discuss
Shots Heard In Alleged Brown Shooting Recording [AUDIO],1818,discuss
Armed U.S. drones spotted flying over Syria in possible hunt for ISIS leader,1509,discuss
ISIS Video: America’s Air Dropped Weapons Now in Our Hands,2168,discuss
Two GOP Congressmen Say Suspected Terrorists Caught Crossing U.S.–Mexico Border,855,discuss
Vogue’s Rat Infestation: Disturbing New Details,2064,agree
ADVISORY-Islamist rebel leader killed in U.S. strike - Somali government,313,disagree
Weather Reporter Caught Writing His Name In The Snow Was NOT Ready To Go On Camera (UPDATED),975,disagree
Lego letter to parents in 1974 on gender equality still resonates 40 years on,1547,agree
"FIDEL CASTRO DEATH WATCH: RUMORS HEAT UP, CUBA DENIES",1401,discuss
More than 200 kidnapped Nigerian girls to be released after deal reached with Boko Haram,2530,discuss
Islamic State claims to have beheaded American journalist,2047,discuss
Islamic State releases video apparently showing the beheading of missing US journalist James Foley,1471,discuss
"After Giving A Homeless Man $100, This Guy Secretly Filmed Him...",2061,agree
Lynch mob chop man's penis off after catching him allegedly trying to rape teenager,1476,discuss
Tropical spider burrowed under Bali tourist's skin,2293,discuss
High school student scores $72M playing the stock market,1987,discuss
British hostage David Haines beheaded by Islamic State terrorists,2206,agree
Reports: Big Bank Hank of pioneering rap group Sugarhill Gang has died,2398,discuss
Tropical spider burrowed under man's skin through appendix scar and lived there for THREE DAYS,1602,discuss
"Jeh Johnson: Politicians Shouldn't 'Feed The Flames Of Fear' Over ISIS, Ebola",666,agree
"'American bombing had signed my death certificate': Missing US journalist James Wright Foley goes unflinching to his death as ISIS behead him in horrific video, as a warning to Obama",1093,discuss
Has Ebola infected Isis militants in Mosul?,1778,discuss
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,1580,agree
Christian Bale won't play Steve Jobs,2455,discuss
Expert casts doubt on Bunbury man Dylan Thomas’s burrowing stomach-spider story,1864,discuss
BATMAN VS. SUPERMAN BATMOBILE STOLEN,1528,discuss
Video shows ISIL beheading of photojournalist James Foley,694,discuss
Staff Reporter,707,discuss
Lebanon detains wife and son of Al-Baghdadi,2337,disagree
"Reports Isis fighters have contracted Ebola are 'incorrect', says Iraqi health ministry",2025,discuss
New iOS 8 bug can delete all of your iCloud documents,2054,discuss
Boko Haram denies it has agreed ceasefire,2403,discuss
Video Purports To Show Beheading Of U.S. Journalist By Militants,1471,discuss
Spider Burrows Into Australian Man's Appendix Scar (VIDEO),1321,disagree
Jihadi John UNMASKED: Islamic State killer NAMED as west Londoner Mohammed Emwazi,1780,discuss
Pumpkin Spice Condoms Could Be The Only Thing To Save The World From Basic Children,1400,discuss
DNA tests prove Lebanon IS holding ISIS chief al-Baghdadi's ex-wife and daughter after they were caught with fake passports,1004,discuss
CNN Airs Alleged Audio from Michael Brown Shooting,1605,discuss
Man who skipped work for 24 years is finally fired,1951,agree
Michael Phelps’ alleged girlfriend says she was born intersex,1349,agree
Nigerians doubtful of girls' release after Boko Haram 'truce' breached,1821,discuss
Scientists Doubt That Meteor Caused Crater In Nicaragua,2475,agree
Meteorite strike in Nicaragua puzzles experts,715,discuss
DHS Rebuffs Congressman’s Claim ISIS Infiltrating Southern Border,2367,disagree
"No, there aren’t any Ebola cases in Iraq",2003,discuss
WAS NBC METEOROLOGIST MIKE SEIDEL PEEING IN THE SNOW ON CAMERA? A TESTY BRIAN WILLIAMS EXPLAINS,1968,discuss
"Boko Haram agrees to ceasefire, release of school girls",2356,discuss
Missing Planes,1958,discuss
Boko Haram ceasefire ignored as violence flares in Borno state,2139,disagree
Batman Set To Play Steve Jobs In Upcoming Biopic,1846,disagree
REPORT: Alleged New Audio of Michael Brown Shooting,2235,discuss
"Video showing American journalist beheaded believed real, officials and family say",2388,discuss
"No, that high school kid didn't make $72 million trading stocks",2407,agree
Pentagon confirms al-Shabab leader killed in airstrike in Somalia,1084,agree
Pictured: Libyan Islamist rebels pose with planes seized from Tripoli airport as U.S. officials warn they could be used to carry out terrorist attack on 9/11 anniversary,1958,agree
This Is Why Rumors That ISIS Is Crossing The Border Into The U.S. Aren’t Going Away,108,discuss
Nicaragua meteorite: Experts attempt to understand whether mysterious meteorite fell from passing Pitbull asteroid,2154,discuss
Mum Offers to Sell Twin Boy to Save Twin Girl,1627,agree
Cold Turkey,1949,agree
Soldier shot at War Memorial; multiple shots fired in Parliament,2156,agree
"Mass Graves Found In Mexico, Near Place Where 43 Students Went Missing",366,discuss
"Islamic State leader's family detained by Lebanon, officials say",2268,discuss
Bali spider burrows under Aussie’s chest,986,disagree
Apple's 12-Inch Retina MacBook Air Shown in Artist's Renditions,1362,discuss
"Nun gives birth, intends to keep baby",534,discuss
Pentagon: Somali terror group leader killed in U.S. airstrike,2374,discuss
Iraqi media: ISIS militants have contracted Ebola,2138,discuss
Boko Haram 'ceasefire' doubts after attacks reported in Nigeria,1540,disagree
ISIS executioner 'Jihadi John' identified as Mohammed Emwazi,1374,agree
Nigeria Claims Boko Haram Will Release the Kidnapped Schoolgirls,2356,discuss
CNN Posts Alleged Audio of Michael Brown Shooting,1818,discuss
ISIS Claims to Have Intercepted Supplies From U.S. Airdrop,1597,discuss
Nigeria: hopes for return of kidnapped schoolgirls rise after ceasefire reported,2463,discuss
Meteorite leaves crater in Nicaraguan capital Managua,1825,discuss
GOP Rep: ‘At Least Ten ISIS Fighters Have Been Caught Coming Across The Mexican Border’,416,discuss
'Spiderman' squished: Perth experts debunk spider burrowing claims,2293,discuss
God Is A Woman – Resurrected Father Narated,1849,agree
"Boko Haram Could Release Kidnapped Girls, Nigerian Officials Say",922,discuss
"Managua explosion not a meteorite, NASA suggests",1213,agree
"No, A Spider Did Not Burrow Under A Man's Skin And Live There For Days",2338,discuss
What One Homeless Man Does with $100 Will Astonish You (VIDEO),2305,agree
"No, a spider (probably) didn't crawl through a man's body for several days",1860,disagree
Aaron Sorkin Confirms Christian Bale Will Play Steve Jobs,1217,discuss
Breaking: Soldier shot at National War Memorial in Ottawa,1089,agree
NASA Raises Doubts About Reports of Nicaraguan Meteorite,1790,discuss
Lynch mob chop man's penis off after catching him allegedly trying to rape teenager,1959,agree
Oscar winner Christian Bale to play Steve Jobs in upcoming biopic,458,agree
Ottawa shooting: Slain soldier named as Nathan Cirillo while suspect identified as Michael Zehaf-Bibeau,1380,agree
"Reports: Jihadists Steal Commercial Jets, Raise 9/11 Fears",2448,discuss
New York City Plans to End Arrests for Possession of Small Amounts of Marijuana,1368,discuss
